web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,how-to-book,book-link,book-link-href,address-link,address-link-href,terms,terms-link,terms-link-href
"1594284532-1742","https://www.holidayhk.com/en-hk/shops/","American ExpressWin 30,000 miles with your spending in #AmexBacksHK Weekly Lucky Draw","https://www.americanexpress.com/hk/en/campaigns/luckydraw.html","null","null","null","","null","null","","null","","null","null",""
"1594284144-1558","https://www.holidayhk.com/en-hk/shops/","G200050% OFF 50% discount on Women's Round Neck Tees (6 colours)","https://www.holidayhk.com/en-hk/shops/shop0114/","G2000","50% discount on Women's Round Neck Tees (6 colours)","Original Price: HK$199
Discounted Price: HK$99","/media/offer/EN_Shop_114_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details. 

Outlet Address


                        

                            Please click here for details.","official website","https://www.g2000.com.hk/","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_114_outlet_address.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_114_tnc.pdf"
"1594284250-1608","https://www.holidayhk.com/en-hk/shops/","CATALO Natural Health FoodsSUPER OFFERPromotion price of HK$99 3 packs for Catalo Multi Vitamin Gummy set Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1016/","CATALO Natural Health Foods","Promotion price of HK$99 3 packs for Catalo Multi Vitamin Gummy set","Original price:  HK$354","/media/offer/EN_Shop_1016_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details. 

Outlet Address
                        

                            Please click here for details.","official website","https://www.catalo.com.hk/catalo2015/?lang=en","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1016_outlet_address.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1016_tnc.pdf"
"1594283984-1481","https://www.holidayhk.com/en-hk/shops/","Hing Lung Food Place LimitedBUY 1 GET 1 FREEBuy one, get one free on selected Japanese sake","https://www.holidayhk.com/en-hk/shops/shop0056/","Hing Lung Food Place Limited","Buy one, get one free on selected Japanese sake","null","/media/offer/EN_Shop_56_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details. 

Outlet Address
Hing Lung Food Place Limited - Kwai Chung
Address: Room 804, Seapower Centre, 73 Lei Muk Road, Kwai Chung, New Territories
Tel: +852 2541 5072
                        

                            Please click here for details.","official website","http://www.sake.com.hk/","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_56_menu.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_56_tnc.pdf"
"1594284197-1584","https://www.holidayhk.com/en-hk/shops/","Modern Girl (HK)50% OFF50% off on all panties","https://www.holidayhk.com/en-hk/shops/shop1202/","Modern Girl (HK)","50% off on all panties","Original Price HK$135-165","/media/offer/Shop_1202_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Mode Marie(HK) - Tsim Sha Tsui
Address: Shop 18B, 1 Hillwood Road, Tsim Sha Tsui, Kowloon.
Tel: +852 2625 5886

Mode Marie(HK) – Causeway Bay
Address: Shop 245, 2/F, 24-26 E Point Rd, Causeway Bay, Hong Kong Island
Tel: +852 2116 5135

Mode Marie(HK) – Sha Tin
Address: Shop 43A, 3/F, Hilton Plaza, 3-9, Sha Tin Centre Street, Sha Tin, New Territories, Hong Kong
Tel: +852 2708 9086

Mode Marie(HK) – Kwai Fong 
Address: Shop B122A, 1/F, Kwai Chung Plaza, 11 Kwai Foo Rd, Kwai Fong, Kwai Chung, New Territories, Hong Kong
Tel: +852 2708 9086

Mode Marie(HK) – Yuen Long
Address: Shop 35, 1/F, Kolour Mall, 1 Kau Yuk Road, Yuen Long, New Territories, Hong Kong
Tel: +852 3586 1328

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1202_tnc.pdf"
"1594283937-1458","https://www.holidayhk.com/en-hk/shops/","Charming International (HK) Group LimitedBUY 1 GET 1 FREEBuy one pack of fish fillet with pickled vegetables, and get one pack of fish meat with bean curd (150g)","https://www.holidayhk.com/en-hk/shops/shop0061/","Charming International (HK) Group Limited","Buy one pack of fish fillet with pickled vegetables, and get one pack of fish meat with bean curd (150g)","Buy one pack of fish fillet with pickled vegetables (worth: HK$69), and get one pack of fish meat with bean curd (150g) (worth: HK$20)","/media/offer/EN_Shop_61_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Charming International (HK) Group Limited - Kwai Chung
Address: Flat A, 4/F, Wah Wing Industrial building, 14-20 Wing Yip Street, Kwai Chung, New Territories
Tel: +852 3615 1094
                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_61_tnc.pdf"
"1594284090-1532","https://www.holidayhk.com/en-hk/shops/","Luen Pun Enterprise Group Limited50% OFF50% off on Food Processor (TX-180)","https://www.holidayhk.com/en-hk/shops/shop1157/","Luen Pun Enterprise Group Limited","50% off on Food Processor (TX-180)","Original Price HK$3960","/media/offer/Shop_1157_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Luen Pun Enterprsie Group Limited
Address: Shanghai Street 307-309, Yau Ma Tei, Kolwoon
Tel: +852 2239 5600

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1157_tnc.pdf"
"1594284416-1688","https://www.holidayhk.com/en-hk/shops/","Hanakago Preserved Flower DesignCASH REBATEEnjoy HK$100 cash rebate upon net purchase of HK$1000 in single transaction","https://www.holidayhk.com/en-hk/shops/shop1194/","Hanakago Preserved Flower Design","Enjoy HK$100 cash rebate upon net purchase of HK$1000 in single transaction","null","/media/offer/Shop_1194_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Hanakago Preserved Flower Design
Address: Unit C, 18/F., Wah Hen Commercial Centre, 381-388 Hennessy Road, Wanchai, Hong Kong Island
Tel: +852 9664 1938
                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1194_tnc.pdf"
"1594283880-1431","https://www.holidayhk.com/en-hk/shops/","Lei Yue Mun Shiu Heung Yuen LtdRedeem Corn and Sweet Potato Crispy Treats with HK$1 by purchasing any items","https://www.holidayhk.com/en-hk/shops/shop1138/","Lei Yue Mun Shiu Heung Yuen Ltd","Redeem Corn and Sweet Potato Crispy Treats with HK$1 by purchasing any items","Original Price HK$40","/media/offer/Shop_1138_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details

Outlet Address
                        

                            Please click here for details.","official website","https://www.walnut.com.hk/","Please click here for details.","https://www.holidayhk.com/media/offer/ENHK_Shop_1138_outlet_adress.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1138_tnc_R.pdf"
"1594284277-1621","https://www.holidayhk.com/en-hk/shops/","FortressPromotion Price of HK$999 (15% off) for NUARL NT01 (G)I-DLE SPECIAL EDITION Headphone (Recommended Retail Price $1188)Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1227/","Fortress","Promotion Price of HK$999 (15% off) for NUARL NT01 (G)I-DLE SPECIAL EDITION Headphone (Recommended Retail Price $1188)","Original Price HK$1188","/media/offer/Shop_1227_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details

Outlet Address
                        

                            Please click here for details.","official website","https://www.fortress.com.hk/en/promotion/hktb","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1227_outlet_address_R.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1227_tnc.pdf"
"1594283941-1460","https://www.holidayhk.com/en-hk/shops/","HUNG FOOK JEWELRY LIMITEDCASH REBATE35% off on all items","https://www.holidayhk.com/en-hk/shops/shop1134/","HUNG FOOK JEWELRY LIMITED","35% off on all items","null","/media/offer/Shop_1134_logo.jpeg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Silver-In Fashion Design Agency
Address : G/F No.105 Yu Chau Street, Sham Shui Po, Kowloon
Tel : +852 2323 8500","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/ENHK_Shop_1134_tnc.pdf"
"1594284013-1495","https://www.holidayhk.com/en-hk/shops/","Tom Lee MusicPETROF N125M1 PE Upright Piano Special Price HK$68,000Quality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1003/","Tom Lee Music","PETROF N125M1 PE Upright Piano Special Price HK$68,000","Selling price:  HK$104,300","/media/offer/EN_Shop_1003_logo2.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Tom Lee Music – Tsim Sha Tsui Flagship Store
Address: 1-9 Cameron Lane, Tsim Sha Tsui, Kowloon 
Tel: +852 2762 6900

Tom Lee Music – Wan Chai Flagship Store
Address: City Centre Building, 144-149 Gloucester Road, Wan Chai, Hong Kong Island
Tel: +852 2519 0238

Tom Lee Music – Sha Tin Flagship Store
Address: Shop 303, L3, HomeSquare, Sha Tin, New Territories 
Tel: +852 2602 3829
                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1003_tnc.pdf"
"1594284148-1560","https://www.holidayhk.com/en-hk/shops/","Daniel Wellington50% OFF 50% discount on Petite York 32mm Rosegold White Dial Watch","https://www.holidayhk.com/en-hk/shops/shop0071/","Daniel Wellington","50% discount on Petite York 32mm Rosegold White Dial Watch","Original Price: HK$1,280","/media/offer/EN_Shop_71_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Daniel Wellington Peak Galleria Store - The Peak
Address: Shop 125A, Level 1, Peak Galleria, 118 Peak Road, The Peak, Hong Kong Island
Tel: +852 2948 0868

Daniel Wellington Grand Plaza Store - Mong Kok 
Address: Kiosk 11, G/F, Grand Plaza, 639 Nathan Road, Mong Kok, Kowloon
Tel: +852 2674 1288

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_71_tnc.pdf"
"1594284078-1526","https://www.holidayhk.com/en-hk/shops/","Chan Yee JaiBUY 1 GET 1 FREEBuy one, get one free Almond Paste PowderQuality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop0003/","Chan Yee Jai","Buy one, get one free Almond Paste Powder","Original price:  HK$45","/media/offer/EN_Shop_3_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Chan Yee Jai - Sheung Wan
Address: G/F, 176B Queen’s Road Central, Sheung Wan, Hong Kong Island
Tel: +852 2543 8922

Chan Yee Jai - Prince Edward
Address: Shop 3, G/F., Bijou Apartments, 157 Prince Edward Road West, Prince Edward, Kowloon
Tel: +852 2345 0220","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_3_tnc.pdf"
"1594284304-1634","https://www.holidayhk.com/en-hk/shops/","G-FactorySUPER OFFERUp to 64% off on selected BABY-G WatchQuality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1297/","G-Factory","Up to 64% off on selected BABY-G Watch","Model No.: BG-1001-2AV
Original Price HK$990
Special Price HK$738

Model No.: BG-1003AN-2E / BG-1003AN-4E
Original Price HK$1390
Special Price HK$498

Model No.: BG-1005A-2
Original Price HK$990
Special Price HK$538

Model No.: BGA-131-2B / BGA-131-4B / BGA-131-4B2 / BGA-131-4B4 / BGA-131-7B4
Original Price HK$1190
Special Price HK$688","/media/offer/Shop_1297_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
G-Factory – Tsim Sha Tsui East
Address: Shop G10, G/F, Mirror Tower, 61 Mody Road, Tsim Shat Sui East, Kowloon
Tel: +852 2722 4722

G-Factory – Sheung Wan
Address: P102-P103, P105-P107 Casey Building, 38 Lok Ku Road, Sheung Wan, Hong Kong Island
Tel: +852 3669 1136

G-Factory – Causeway Bay
Address: 3-29G, 3/F., SOGO Department Stores, Causeway Bay, Hong Kong Island
Tel: +852 2831 8453





                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1297_tnc.pdf"
"1594284262-1614","https://www.holidayhk.com/en-hk/shops/","Passion by Gerard DuboisBUY 1 GET 1 FREEBuy one, get one free Gelato Panier (any flavour) daily after 2:30pm","https://www.holidayhk.com/en-hk/shops/shop0079/","Passion by Gerard Dubois","Buy one, get one free Gelato Panier (any flavour) daily after 2:30pm","Worth: HK$41","/media/offer/EN_Shop_79_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Passion by Gerard Dubois - Mong Kok 
Address: Shop 11, 4/F, Langham Place, 8 Argyle Street, Mong Kok, Kowloon
Tel: +852 2967 8812
                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_79_tnc.pdf"
"1594284534-1743","https://www.holidayhk.com/en-hk/shops/","Beijing Tong Ren Tang (V city outlet)Get complimentary items upon purchase of specified amounts","https://www.holidayhk.com/en-hk/shops/shop0097/","Beijing Tong Ren Tang (V city outlet)","Get complimentary items upon purchase of specified amounts","Complimentary pack of health nourishing tea (Buckwheat tea or Cassia tea) upon purchase of HK$300;
Complimentary portable eco-friendly cutlery set upon purchase of HK$800;
Complimentary travel mug upon purchase of HK$1,500.
(While stocks last)","/media/offer/EN_Shop_97_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Beijing Tong Ren Tang - V city
Address: Shop M-67, MTR Level, V city, No. 83 Tuen Mun Heung Sze Wui Road, Tuen Mun, New Territories
Tel: +852 2798 6527

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_97_tnc.pdf"
"1594284456-1707","https://www.holidayhk.com/en-hk/shops/","Today's LivingCASH REBATEEnjoy HK$100 cash rebate upon net purchase of HK$1000 in single transaction","https://www.holidayhk.com/en-hk/shops/shop1119/","Today's Living","Enjoy HK$100 cash rebate upon net purchase of HK$1000 in single transaction","null","/media/offer/Shop_1119_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Today's Living
Address: Room 1502, Wanchai Commercial Centre, No.194-204 Johnston Road, Wanchai, Hong Kong Island
Tel: +852 28822230




                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1119_tnc.pdf"
"1594284049-1512","https://www.holidayhk.com/en-hk/shops/","Baron Kay's Tailor15% off on tailor made clothesQuality Tourism Services  Scheme Shops","https://www.holidayhk.com/en-hk/shops/shop1214/","Baron Kay's Tailor","15% off on tailor made clothes","null","/media/offer/Shop_1214_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Baron Kay’s Tailor
Address: 1/F, 43 Mody Road, Tsim Sha Tsui, Kowloon
Tel: +852 2723 2839

                        

                            Please click here for details.","null","","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Shop_1214_tnc.pdf"
