web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,how-to-book,book-link,book-link-href,terms,terms-link,terms-link-href
"1594348474-151","https://www.holidayhk.com/en-hk/food-and-drink/","North Garden Restaurant - Sheung WanHK$988 for Paralithodes Camtschaticus / Leopard Carol Trout and Chinese BarbecueQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1007/","North Garden Restaurant - Sheung Wan","HK$988 for Paralithodes Camtschaticus / Leopard Carol Trout and Chinese Barbecue","null","/media/offer/EN_Dine_1007_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
North Garden Restaurant – Sheung Wan
Address: G/F & 1/F, Hong Way Garden, 7 On Tai Street, Sheung Wan, Hong Kong Island 
Tel: +852 25811898


                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1007_tnc.pdf"
"1594348369-102","https://www.holidayhk.com/en-hk/food-and-drink/","ClubONESpecial offer on à la carte dinner dishes and regular-priced set menu","https://www.holidayhk.com/en-hk/food-and-drink/food1191/","ClubONE","Special offer on à la carte dinner dishes and regular-priced set menu","null","/media/offer/Dine_1191_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Please visit our  official website  for more details

Outlet Address
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1191_outlet_address.pdf","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1191_tnc.pdf"
"1594348262-53","https://www.holidayhk.com/en-hk/food-and-drink/","Champ KitchenBUY 1 GET 1 FREEBuy one, get one free Tsing Tao Beer (1 glass) or mocktail (1 cup)Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food0003/","Champ Kitchen","Buy one, get one free Tsing Tao Beer (1 glass) or mocktail (1 cup)","Enjoy the offer upon spending of HK$200 or above","/media/offer/EN_Dine_3_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Champ Kitchen
Address: 29/F, iSQUARE, 63 Nathan Road, Tsim Sha Tsui, Kowloon
Tel: +852 6227 0220
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_3_tnc.pdf"
"1594348464-146","https://www.holidayhk.com/en-hk/food-and-drink/","Super Star Chinese CuisineGet a free designated dish of crab upon dine-in dinner spending HK$600Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1002/","Super Star Chinese Cuisine","Get a free designated dish of crab upon dine-in dinner spending HK$600","null","/media/offer/EN_Dine_1002_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Super Star Chinese Cuisine - Kwun Tong
Address: 1/F, Yen Sheng Centre, 64 Hoi Yuen Road, Kwun Tong, Kowloon
Tel: +852 26280120

Super Star Chinese Cuisine - Tsuen Wan
Address: Shop 621-630, Level 6, Tsuen Wan Plaza, 4-30 Tai Pa Street, Tsuen Wan, New Territories
Tel: +852 26280686

Super Star Chinese Cuisine - Yuen Long
Address: Shop A301-A302, Level 3, YOHO Mall II, 8-9 Long Yat Road & 9 Yuen Lung Street, Yuen Long, New Territories
Tel: +852 26280866

Super Star Chinese Cuisine - Lai Chi Kok
Address: G/F, Law's Commercial Plaza, 786-788 Cheung Sha Wan Road, Lai Chi Kok, Kowloon
Tel: +852 26280323

Super Star Chinese Cuisine - Tsim Sha Tsui
Address: 3/F, Grand Centre, 8 Humphreys Avenue, Tsim Sha Tsui, Kowloon
Tel: +852 26280698

Super Star Chinese Cuisine - Mong Kok
Address: Shop 601 & 601A, 6/F, MOKO, 193 Prince Edward Road West, Mong Kok, Kowloon
Tel: +852 26280890

Super Star Chinese Cuisine - Wan Chai
Address: 1/F, Shui On Centre, 6-8 Harbour Road, Wan Chai, Hong Kong Island
Tel: +852 26280989
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1002_tnc3.pdf"
"1594348514-169","https://www.holidayhk.com/en-hk/food-and-drink/","Cheung Kung Koon20% off on all day session","https://www.holidayhk.com/en-hk/food-and-drink/food1186/","Cheung Kung Koon","20% off on all day session","20% off in Dinner Session (Tsim Sha Tsui shop only)
20% off on all day session (Causeway Bay shop only)","/media/offer/Dine_1186_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Cheung Kung Koon - Causeway Bay
Address:29F, V Point, 18 Tang Lung Street, Causeway Bay, Hong Kong Island
Tel: +852 8118 1177

Cheung Kung Koon - Tsim Sha Tsui
Address: 2F, The Cameron, No. 33 Cameron Road, Tsim Sha Tsui, Kowloon
Tel: +852 8118 1188","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1186_tnc.pdf"
"1594348367-101","https://www.holidayhk.com/en-hk/food-and-drink/","Mike's Chicken Comida de Portugal50% OFF50% off on Traditional Grilled Sardines","https://www.holidayhk.com/en-hk/food-and-drink/food1170/","Mike's Chicken Comida de Portugal","50% off on Traditional Grilled Sardines","Original Price HK$178","/media/offer/Dine_1170_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Mike’s Chicken Comida de Portugal 
Address:  Shop 167 1/F mira place 2, 118-130 Nathan Road, Tsim Sha Tusi, Kowloon
Tel: +852 23923328

                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1170_tnc.pdf"
"1594348451-140","https://www.holidayhk.com/en-hk/food-and-drink/","Zen Noodle CafeCASH REBATEEnjoy HK$20 cash rebate upon net purchase of HK$100 in single transactionQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1143/","Zen Noodle Cafe","Enjoy HK$20 cash rebate upon net purchase of HK$100 in single transaction","null","/media/offer/Dine_1143_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Zen Noodle Cafe
Address: Shop 2, Ngong Ping Themed Village, Ngong Ping 360, Lantau Island, Hong Kong 
Tel: +852 2752 6009","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1143_tnc.pdf"
"1594348540-181","https://www.holidayhk.com/en-hk/food-and-drink/","Dining Discount Bonanza","https://www.holidayhk.com/en-hk/food-and-drink/diningdiscount/","null","Dining Discount Bonanza","July: 30% off
August: 20% off","","null","null","","Terms and conditions apply.","null",""
"1594348295-69","https://www.holidayhk.com/en-hk/food-and-drink/","da dolce Gelato Italiano50% OFF50% off on da dolce Gelato set (3 cups)","https://www.holidayhk.com/en-hk/food-and-drink/food1154/","da dolce Gelato Italiano","50% off on da dolce Gelato set (3 cups)","Original Price HK$240","/media/offer/Dine_1154_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
da dolce Gelato Italiano
Address: Shop 7A, Ngong Ping Themed Village, Lantau Island 
Tel: +852 22593919","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1154_tnc.pdf"
"1594348526-174","https://www.holidayhk.com/en-hk/food-and-drink/","Golden Fortune RestaurantSUPER OFFERPromotion Price of HK$125 for Deep-fried Chicken","https://www.holidayhk.com/en-hk/food-and-drink/food1190/","Golden Fortune Restaurant","Promotion Price of HK$125 for Deep-fried Chicken","Original Price HK$250 each","/media/offer/Dine_1190_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Golden Fortune Restaurant
Address: Shop B1, B/F, Home World (Site 12), The Whampoa, Hung Hom, Kowloon, Hong Kong 
Tel: +852 2253 1113","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1190_tnc.pdf"
"1594348377-106","https://www.holidayhk.com/en-hk/food-and-drink/","Small Potato MovielandBUY 1 GET 1 FREEBuy one, get one free soft drink","https://www.holidayhk.com/en-hk/food-and-drink/food0070/","Small Potato Movieland","Buy one, get one free soft drink","Original price : HK$22","/media/offer/EN_Dine_70_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Small Potato Movieland
Address: Portion B1 & B2 of Shop J, G/F, Winner Centre, 333 Chai Wan Road, Chai Wan, Hong Kong Island
Tel: +852 2882 7278
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_70_tnc.pdf"
"1594348225-35","https://www.holidayhk.com/en-hk/food-and-drink/","Cheung Kung Koon30% off on Dimsum in Lunch Session","https://www.holidayhk.com/en-hk/food-and-drink/food1185/","Cheung Kung Koon","30% off on Dimsum in Lunch Session","null","/media/offer/Dine_1185_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Cheung Kung Koon - Tsim Sha Tsui
Address: 2F, The Cameron, No. 33 Cameron Road, Tsim Sha Tsui, Kowloon
Tel: +852 8118 1188","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1185_tnc.pdf"
"1594348429-131","https://www.holidayhk.com/en-hk/food-and-drink/","The Platter - Hotel COZi • Wetland BUY 1 GET 1 FREEBuy one, get one free all beverages (excluding bottle wine)","https://www.holidayhk.com/en-hk/food-and-drink/food0073/","The Platter - Hotel COZi • Wetland","Buy one, get one free all beverages (excluding bottle wine)","null","/media/offer/EN_Dine_73_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
The Platter - Hotel COZi • Wetland 
Address: 4/F, Hotel COZi • Wetland , 8 Tin Sau Road, Tin Shui Wai, Yuen Long, New Territories
Tel: +852 3583 6128
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_73_tnc.pdf"
"1594348344-90","https://www.holidayhk.com/en-hk/food-and-drink/","Nepal Food Services LimitedCASH REBATEEnjoy HK$100 cash rebate upon purchase of HK$500 in single transactionQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1171/","Nepal Food Services Limited","Enjoy HK$100 cash rebate upon purchase of HK$500 in single transaction","null","/media/offer/Dine_1171_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Nepal Restaurant & Bar
G/F, 14 Staunton Street, SoHo, Central, Hong Kong Island
Tel: +852 2869 6212","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1171_tnc.pdf"
"1594348373-104","https://www.holidayhk.com/en-hk/food-and-drink/","alfafaBUY 1 GET 1 FREEBuy one, get one free Hot or Iced Cappuccino (1 cup)","https://www.holidayhk.com/en-hk/food-and-drink/food0034/","alfafa","Buy one, get one free Hot or Iced Cappuccino (1 cup)","null","/media/offer/EN_Dine_34_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
alfafa - Island Place
Address: Shops 123-124, 1/F, Island Place, 500 King's Road, Hong Kong Island
Tel: +852 2870 3312

alfafa - Kornhill Plaza
Address: Shop no. M2, M/F, Kornhill Plaza, 1 Kornhill Road, Hong Kong Island
Tel: +852 2560 2038

alfafa - Lok Fu
Address: Shop Nos. L226 & L227, UG2/F, Lok Fu Place, Kowloon
Tel: +852 2468 2429
                        

                            Please click here for details.","null","","Terms and conditions apply. 
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_34_tnc.pdf"
"1594348460-144","https://www.holidayhk.com/en-hk/food-and-drink/","The French WindowPromotion Price of HK$398 for 4-Course Great Lob""star"" FeastQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1194/","The French Window","Promotion Price of HK$398 for 4-Course Great Lob""star"" Feast","Original Price HK$528","/media/offer/Dine_1194_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
The French Window
Address: Shop 3101, Podium Level 3, ifc mall, Central, Hong Kong Island
Tel: +852 2393 3812





                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1194_tnc.pdf"
"1594348191-19","https://www.holidayhk.com/en-hk/food-and-drink/","Golden Fortune RestaurantSUPER OFFERPromotion Price of HK$38 for Braised Abalone with Vegetables and Mushroom","https://www.holidayhk.com/en-hk/food-and-drink/food1189/","Golden Fortune Restaurant","Promotion Price of HK$38 for Braised Abalone with Vegetables and Mushroom","Original Price HK$78/person","/media/offer/Dine_1189_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Golden Fortune Restaurant
Address: Shop B1, B/F, Home World (Site 12), The Whampoa, Hung Hom, Kowloon, Hong Kong 
Tel: +852 2253 1113","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1189_tnc.pdf"
"1594348154-1","https://www.holidayhk.com/en-hk/food-and-drink/","NinoenCASH REBATEEnjoy HK$100 cash rebate upon purchase of HK$1000 in single transaction","https://www.holidayhk.com/en-hk/food-and-drink/food1210/","Ninoen","Enjoy HK$100 cash rebate upon purchase of HK$1000 in single transaction","null","/media/offer/Dine_1210_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Ninoen – Sheung Wan
Address: Shop C, G/F, Gold Shine Tower, 346-348 Queen’s Road Central, Sheung Wan, Hong Kong Island
Tel: +852 3586 0470

Ninoen – Sai Wan
Address: G/F, Shop 6, Tak Lee Building, 270-280 Queen’s Road West, Hong Kong Island
Tel: +852 3104 0884

Ninoen – Sai Wan
Address: Shop11, G/F, Whitty Building, 22-24 Whitty Street, Sai Wan, Hong Kong Island
Tel: +852 3105 2800

Ninoen – North Point
Address: Shop A1, On Ground Floor, Yee on Mansion, 8A-8D North Point Road, 55-71 Chun Yeung Street, Hong Kong Island
Tel: +852 3101 0826


                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1210_tnc.pdf"
"1594348175-11","https://www.holidayhk.com/en-hk/food-and-drink/","BUGISEnjoy special price of HK$1 Mini Pork Neck Meat Laksa Tsaam Tsaam upon any patronage of over HK$120","https://www.holidayhk.com/en-hk/food-and-drink/food0062/","BUGIS","Enjoy special price of HK$1 Mini Pork Neck Meat Laksa Tsaam Tsaam upon any patronage of over HK$120","Original price : HK$50","/media/offer/EN_Dine_62_logo.jpg","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
BUGIS - Cheung Sha Wan
Address: Shop 305, 3/F D2 Place ONE, 9 Cheung Yee Street, Cheung Sha Wan, Kowloon
Tel: +852 2116 0160

BUGIS - Sham Shui Po
Address: Shop No. L2-50 & 51, Level 2, V Walk, 28 Sham Mong Road, Sham Shui Po, Kowloon
Tel: +852 2426 0289

BUGIS - Diamond Hill
Address: Shop No. 234, Level 2, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill, Kowloon
Tel: +852 2116 0838

BUGIS - Tin Shui Wai
Address: Shop LG15 & LG16, LG1/F, Tin Yiu Plaza, Tin Yiu Estate, Tin Wu Road, Tin Shui Wai, Yuen Long, New Territories
Tel: +852 2152 0689

BUGIS - Tuen Mun
Address: Shop No.L1-1 Level 1 V city, 83 Tuen Mun Heung Sze Wui Rd., Tuen Mun, New Territories
Tel: +852 2427 8989
                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_62_tnc.pdf"
"1594348530-176","https://www.holidayhk.com/en-hk/food-and-drink/","Victoria Harbour Supreme50% OFF50% off on Braised Abalone with ChickenQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1149/","Victoria Harbour Supreme","50% off on Braised Abalone with Chicken","Original Price $168","/media/offer/Dine_1149_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address
Victoria Harbour Supreme - Quarry Bay
Address: T3, 3/F, Kornhill Plaza, 1-2 Kornhill Road, Quarry Bay, Hong Kong Island, Hong Kong 
Tel: +852 2811 1679


                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1149_tnc.pdf"
"1594348365-100","https://www.holidayhk.com/en-hk/food-and-drink/","Harbour Cruise - BauhiniaCASH REBATEEnjoy $100 discount on Captain Cat Cake, 30% off on other cakesQuality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/food-and-drink/food1151/","Harbour Cruise - Bauhinia","Enjoy $100 discount on Captain Cat Cake, 30% off on other cakes","null","/media/offer/Dine_1151_logo.png","Show this page to the merchant for redemption. To show offline, click 'Print' and choose 'Save as PDF' (or print a hard copy) to show later.

Outlet Address 
Harbour Cruise - Bauhinia 
Address: North Point (East) Passenger Ferry Pier, Hong Kong Island, Hong Kong 
Tel: +852 2802 2886

                        

                            Please click here for details.","null","","Terms and conditions apply.
                        

                            Please click here for details.","Please click here for details.","https://www.holidayhk.com/media/offer/EN_Dine_1151_tnc.pdf"
