web-scraper-order,web-scraper-start-url,product,product-href,name,brandname,description,logo-src,offer-detail
"1594281975-1388","https://www.holidayhk.com/en-hk/staycation/","Stanford HotelStay longer. Experience more. Stay two nights get one night free","https://www.holidayhk.com/en-hk/staycation/staycation0099/","Stanford Hotel","Stay longer. Experience more. Stay two nights get one night free","Experiences become priceless memories that you can carry with you for a lifetime. So why not stay a little longer and experience more?","/media/offer/StanfordHotel_HK_Hotel_Offer_1_logo.png","•  Offer is valid from 15 June to 30 September 2020
•  Hong Kong residents are eligible for this offer
•  Offer includes: 
- Pay 2 nights and get the 3rd night free 
- Free 24 hours Wi-Fi high speed internet access (Self bring-in device)
•  For enquiry or reservation, please contact sales3@stanfordhotel.com or +852 2313 7032"
"1594281711-1260","https://www.holidayhk.com/en-hk/staycation/","Hong Kong Disneyland ResortLantau Explorer Package HK$2,088Quality Tourism Services Scheme Restaurants","https://www.holidayhk.com/en-hk/staycation/staycation0154/","Hong Kong Disneyland Resort","Lantau Explorer Package HK$2,088","Combine your stay at Hong Kong Disneyland Hotel with a visit to Noah's Ark or a scenic ride on the NP360 cable car! 
A one-way limousine transfer is included between the hotel and Tung Chung or Ma Wan.","/media/offer/LaDA_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 31 August 2020
• Hong Kong residents are eligible for this offer
• Offer includes:
- A one-night accommodation in a Standard Room at Hong Kong Disneyland Hotel from HK$2,088
- 2 adult admission tickets to Noah's Ark, or 2 Ngong Ping 360 cable car tickets
- A one-way limousine transfer between Hong Kong Disneyland Hotel and Tung Chung or Ma Wan
• A complimentary HK$100 Citygate Outlets cash voucher and a 20% off coupon at AsiaWorld-Expo's NUVA, specialising in Chinese fine dining (while stock lasts)
• The tour and travel services in the advertisement are offered by 360 Holidays
• For enquiries, please contact holidays@np360.com.hk or +852 3666 0666"
"1594281769-1288","https://www.holidayhk.com/en-hk/staycation/","Kowloon Harbourfront HotelStay & Dine with HK$600 Dining Credits (Free Upgrade to Harbourview Suite)","https://www.holidayhk.com/en-hk/staycation/staycation0072/","Kowloon Harbourfront Hotel","Stay & Dine with HK$600 Dining Credits (Free Upgrade to Harbourview Suite)","Receive HK$600 dining credits to spend in hotel's dining outlets per stay","/media/offer/KowloonHarbourfront_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible for this offer
• Offer includes:
- One night accommodation in Two-bedroom Cityview suite
- Free Upgrade to Two-bedroom Harbourview suite
- HK$600 dining credits to spend at hotel's dining outlets per stay (except for room service)
- Complimentary one bottle of house red wine for special occasion during the stay
• For enquiries, please contact rsvn.khfh@harbour-plaza.com or +852 2186 9080"
"1594281761-1284","https://www.holidayhk.com/en-hk/staycation/","Rosedale Hotel Hong KongBuy one night, get one night free","https://www.holidayhk.com/en-hk/staycation/staycation0041/","Rosedale Hotel Hong Kong","Buy one night, get one night free","Buy one, get one night free at Superior Room","/media/offer/RosedaleHongKong_HK_Hotel_Offer_1_logo.png","•  Offer is valid from 15 June to 15 July 2020
•  Hong Kong residents are eligible for this offer
•  Enjoys a buy one, get one night stay for free at Superior Room at HK$700 (subject to 10% service charge)
•  Upgrade to a Suite with free minibar with an additional supplement of HK$380net per room per night
•  For enquiries, please contact rsvn@rosedale.com.hk or +852 2127 8606"
"1594281849-1327","https://www.holidayhk.com/en-hk/staycation/","Rosedale Hotel KowloonWine & Stay","https://www.holidayhk.com/en-hk/staycation/staycation0176/","Rosedale Hotel Kowloon","Wine & Stay","Rosedale Hotel Kowloon rewards guests by offering an unlimited free flow of house red or white wine and selected beer along with one-night stay. Come and join the ""Wine & Stay"" Package, drink with joy, cheers!","/media/offer/RosedaleKLN_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible for this offer
• Staycation Package includes:
   - Free upgrade to Deluxe Room
   - Unlimited free flow of house red or white wine and selected beer at SkyZone Deck & Lounge for two persons
   - Free local calls
   - Free Wi-Fi Internet access
   - Free coffee and tea making facilities
   - Late check-out till 2pm
• For enquiries and reservations, please contact Reservation Office at +852 3919 8606 or email to rhk-rsvn@rosedalehotels.com by specifying 'Wine & Stay' accomodation package"
"1594281775-1291","https://www.holidayhk.com/en-hk/staycation/","Kerry Hotel Hong KongStaycation Offer","https://www.holidayhk.com/en-hk/staycation/staycation0070/","Kerry Hotel Hong Kong","Staycation Offer","Enjoy HK$1,000 hotel credit and more when booking your relaxing and fun-filled staycation at Kerry Hotel Hong Kong.","/media/offer/KerryHotel_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 September 2020
• Offer includes:
- One night accommodation
- HK$1,000 hotel credit per night
- Use of hotel’s fitness centre and swimming pool
- Complimentary overnight parking for one car per room 
- Complimentary late check-out until 4pm 
•  For enquiries, please contact reservations@shangri-la.com or +852 3069 9788"
"1594281954-1378","https://www.holidayhk.com/en-hk/staycation/","Hong Kong SkyCity Marriott HotelExperience Local Destination – Tai O Room Package","https://www.holidayhk.com/en-hk/staycation/staycation0083/","Hong Kong SkyCity Marriott Hotel","Experience Local Destination – Tai O Room Package","At only HK$1,600 up, you and your family can enjoy a one-night tranquil accommodation away from the city, as well as the All-You-Can-Eat Dinner Feast where you can sample a scrumptious range of dishes prepared fresh upon order. Furthermore, you can visit Tai O fishing village with a single-trip transportation arranged by the hotel.","/media/offer/SkyCityMarriott_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 31 August 2020
• Staycation Package includes:
   - One-night accommodation in a Deluxe Room*
   - All-You-Can-Eat Dinner Feast in SkyCity Bistro for 2 adults and 2 children on arrival date
   - A complimentary single-trip transportation from hotel to Tai O
   - A complimentary parking space at the hotel
   - Complimentary access to Health Club facilities including indoor-heated swimming pool and gym
   - Complimentary shuttle bus service to the airport and Tung Chung MTR station
* With a supplement of HK$800 per room per night, you will have one more connected Deluxe Room; or an upgrade to a Deluxe Bay View Suite with complimentary access to the Executive Lounge
• For enquiries, please contact reservations.hkgap@marriott.com or +852 3969 1888"
"1594281878-1341","https://www.holidayhk.com/en-hk/staycation/","Dorsett Wanchai, Hong KongAround the World with Dorsett","https://www.holidayhk.com/en-hk/staycation/staycation0185/","Dorsett Wanchai, Hong Kong","Around the World with Dorsett","Have a taste of the Japanese culture and food at Dorsett Wanchai before planning for your overseas holiday!
Book 2 nights (split stay allowed) at the TripAdvisor-recommended Dorsett Wanchai’s newly-renovated Superior Room  and enjoy 1 night FREE at any 24 hotels in 18 cities globally, including Tokyo, Osaka, Singapore, Kuala Lumpur, London, Shanghai… for only HK$688 nett per night (inclusive service charge).","/media/offer/DorsettWanchai_HK_Hotel_Offer_3_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible to this offer
• Offer includes:
- One night accommodation in Superior Room at HK$688 (inclusive service charge) with the following benefits:
- American style buffet breakfast for 2
- A sushi set dinner for two, with 6 types of sake - 3 hot and 3 cold, in tasting portion
- One Fukubukuro (Japanese lucky bag) of your choice, including a range of handpicked drinks, snacks and over 6 types of Japanese cosmetic items (to the value of HK$100)
• Enjoy 1-night FREE in overseas hotel if you book the 2nd night at an additional HK$688 (inclusive service charge) for room only:
- A stay at our Superior Room
- One-night complimentary stay voucher at any participating overseas hotels. The voucher is valid till December 2021
• To enjoy a more relaxing stay, you may enjoy a Room Upgrade with the following options:
- Upgrade to Premier Room at HK$100 nett per night
- Upgrade to Grand Deluxe Course View Room at HK$200 nett per night
- Upgrade to Family Quad Room at HK$400 nett per night with free breakfast for 4, in-room piñata and participation in the ‘Catch the Elves’ game and get 3 limited-edition elves toys in the room per stay (a collection of 9 different elves toys are available for kids who book this package)
- Upgrade to Executive Suite at HK$500 nett per night
- Upgrade to Theme Suite at HK$600 nett per night
•  Extra Benefits (Upon confirming your free one-night stay at any participating overseas hotels)*:
- Complimentary 3-day Wi-Fi Egg/ Sim Card for International use
- Dorsett Wanchai’s signature shoe bag as souvenir
- Plaza Premium Lounge 3-hour pass buy-1-get-1-free
•  For enquiries, please contact reservation.wanchai@dorsetthotels.com or +852 3552 1133."
"1594281901-1352","https://www.holidayhk.com/en-hk/staycation/","Courtyard by Marriott Hong KongIndulgence Getaway","https://www.holidayhk.com/en-hk/staycation/staycation0058/","Courtyard by Marriott Hong Kong","Indulgence Getaway","Attractive offer from HK$980 with complimentary semi-buffet breakfast & lunch buffet for 2 persons and complimentary late check out at 3pm","/media/offer/CourtyardHK_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible for this offer
• Offer includes:
- One night accommodation in a Deluxe City View room
- Complimentary semi-buffet breakfast for 2 persons
- Complimentary lunch buffet for 2 persons
- Complimentary late check out at 3pm
• Added benefits include:
- 50% off on semi-breakfast buffet
- 35% off on lunch buffet 
• For enquiries, please contact cy.hkgcy.reservation.sales.supv@courtyard.com or +852 3717 8881."
"1594281699-1254","https://www.holidayhk.com/en-hk/staycation/","Dorsett Mongkok, Hong KongAround the World with Dorsett","https://www.holidayhk.com/en-hk/staycation/staycation0184/","Dorsett Mongkok, Hong Kong","Around the World with Dorsett","Have a taste of the Japanese culture and food at Dorsett Mongkok before planning for your overseas holiday!
Book 2 nights (split stay allowed) at the TripAdvisor-recommended Dorsett Mongkok’s Superior Room and enjoy 1 night FREE at any 24 hotels in 18 cities globally, including Tokyo, Osaka, Singapore, Kuala Lumpur, London, Shanghai… for only HK$588 per night (inclusive service charge).","/media/offer/DorsettMongkok_HK_Hotel_Offer_3_logo.png","• Offer is valid from 15 June to 30 September 2020
• Hong Kong residents are eligible to this offer
   Offer includes:
• One night accommodation in Room Superior at HK$588 nett per night with following benefits:
- Breakfast for 2 at Wing Shing local restaurant
- One set of Japanese fried chicken and soba set dinner for two, with 2 cups of sparkling wine
- One Fukubukuro (Japanese lucky bag) of your choice, including a range of handpicked drinks, snacks and over 6 types of Japanese cosmetic items (to the value of HK$50)
• Enjoy 1-night FREE in overseas hotel if you book the 2nd night at an additional HK$588 for room only (inclusive service charge):
- A stay at our Superior Room
- One-night complimentary stay voucher at any participating overseas hotels. The voucher is valid till December 2021
• To enjoy a more relaxing stay, you may enjoy a Room Upgrade with the following options:
- Upgrade to Executive Room at HK$100 nett per night
- Upgrade to Family Quad Room/ Suite Premier at HK$400 nett per night with free breakfast for 4
• Extra Benefits (Upon confirming your free one-night stay at any participating overseas hotels)*:
- Complimentary 3-day Wi-Fi Egg/ Sim Card for International use
- Dorsett Mongkok’s signature shoe bag as souvenir
- Plaza Premium Lounge 3-hour pass buy-1-get-1-free
•  For enquiries, please contact reservation.mongkok@dorsetthotels.com or +852 3987 2388"
"1594281730-1269","https://www.holidayhk.com/en-hk/staycation/","The Pottinger Hong KongFoodie Paradise Staycation with HK$800 Dining Credits","https://www.holidayhk.com/en-hk/staycation/staycation0053/","The Pottinger Hong Kong","Foodie Paradise Staycation with HK$800 Dining Credits","Relish yourself with an amazing foodie staycation when spending the quality time at The Pottinger Hong Kong! Grab HK$800 daily food & beverage credit at Gradini Ristorante E Bar Italiano and an array of exclusive privileges. Action now!","/media/offer/ThePottinger_HK_Hotel_Offer_1_logo.png","•  Offer is valid from 15 June to 31 August 2020
•  Hong Kong residents are eligible for this offer
•  Staycation package includes:
- One night accommodation in Classic Room 
- HK$800 daily food & beverage credit at Gradini Ristorante E Bar Italiano (Monday - Saturday)
- Eligible for earning Asia Miles or KrisFlyer miles (* Respective frequent flyer programme terms and conditions apply)
•  For enquiries, please contact reservations@thepottinger.com or +852 2308 3199"
"1594281701-1255","https://www.holidayhk.com/en-hk/staycation/","Royal Plaza HotelSTAY & PLAYsky100: Explore Hong Kong Room Package","https://www.holidayhk.com/en-hk/staycation/staycation0044/","Royal Plaza Hotel","sky100: Explore Hong Kong Room Package","Take advantage of the 'Explore Hong Kong Room Package' to stay in the luxurious room, get two admission sky100 tickets to enjoy a bird’s eye view of Hong Kong’s ever-changing skyline alongside with dining privileges valued at HK$500. Book now and start your extraordinary journey by today.","/media/offer/RoyalPlaza_HK_Hotel_Offer_1_logo.png","•  Accommodation at Royal Plaza Hotel
•  2 complimentary admission tickets to sky100 (per room per stay)
•  Enjoy HK$500 dining credit per night (available in all Food & Beverage outlets including room service and available in accumulative use)
•  Complimentary unlimited in-room paid movies
•  Complimentary in-room Wi-Fi and broadband Internet access
•  Complimentary local calls and calling card access
•  Complimentary use of gym at Health Club
•  Late check-out until 3pm (subject to availability)
•  Upgrade Offers:
- Enjoy a special price at HK$100 for an extra ticket to sky100
- Please put in remark for upgrade offers
- Supplement charges will be settled upon arrival
•  For enquiries, please contact resvn@royalplaza.com.hk or +852 2622 6110"
"1594281961-1381","https://www.holidayhk.com/en-hk/staycation/","Auberge Discovery Bay Hong KongCelebration Package","https://www.holidayhk.com/en-hk/staycation/staycation0132/","Auberge Discovery Bay Hong Kong","Celebration Package","Are you planning on an unforgettable celebration? Auberge Discovery Bay Hong Kong has just the right package for you! Starting from HK$1,488* from Mondays to Thursdays, and HK$1,788* up on Fridays to Sundays & public holidays.","/media/offer/AubergeDB_HK_Hotel_Offer_1_logo.png","• Package Includes:
   - One night stay in Mountain View Room
   - Breakfast for two persons
   - Western set dinner for two persons (available from Sundays to Thursdays)* or buffet dinner for two persons (available on Fridays, Saturdays, Festive Days, Public holidays and eves)*
   - Complimentary mini sweets and a bottle of French Sparkling Wine
•  Offer is valid from 15 June to 30 September 2020
•  For enquiries, please contact reservations@aubergediscoverybay.com or call us at +852 2295 8355  

*Buffet and set menu are subject to availability. Menu items are subject to change without prior notice."
"1594281808-1307","https://www.holidayhk.com/en-hk/staycation/","The Mira Hong KongFoodie Haven Staycation - Set Dinner for 2 at WHISK","https://www.holidayhk.com/en-hk/staycation/staycation0050/","The Mira Hong Kong","Foodie Haven Staycation - Set Dinner for 2 at WHISK","Rate includes set dinner for two at the MICHELIN-recommended Innovative French-Japanese WHISK.","/media/offer/TheMiraHK_HK_Hotel_Offer_2_logo.png","Offer includes:
- One night accommodation in a City Room (up to 2 guests)
- Set dinner for two at the MICHELIN-recommended Innovative French-Japanese WHISK during stay period
- Guaranteed late checkout till 4pm"
"1594281874-1339","https://www.holidayhk.com/en-hk/staycation/","The Mira Hong KongFoodie Haven Staycation - Set Dinner for 2 at Cuisine Cuisine","https://www.holidayhk.com/en-hk/staycation/staycation0051/","The Mira Hong Kong","Foodie Haven Staycation - Set Dinner for 2 at Cuisine Cuisine","Rate includes set dinner for two at the MICHELIN-recommended Cantonese Restaurant Cuisine Cuisine at The Mira.","/media/offer/TheMiraHK_HK_Hotel_Offer_3_logo.png","Offer includes:
- One night accommodation in a City Room (up to 2 guests)
- Set dinner for two at the MICHELIN-recommended Cantonese Restaurant Cuisine Cuisine at The Mira during stay period
- Guaranteed late checkout till 4pm"
"1594281889-1346","https://www.holidayhk.com/en-hk/staycation/","Regal Kowloon HotelWELLNESSWe Go Love 'RegaLOVE' Celebrations Room Package","https://www.holidayhk.com/en-hk/staycation/staycation0122/","Regal Kowloon Hotel","We Go Love 'RegaLOVE' Celebrations Room Package","• A Decadent Afternoon Tea Set
• A Regal Signature freshly made cake
• Body Massage and Foot Massage
• Executive Club Lounge privileges","/media/offer/RegalKowloon_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 September 2020
• Offer includes:
- One night accommodation in Executive Suite
- We Go Love room decoration
- A Decadent Afternoon Tea Set
- A Regal Signature freshly made cake
- Body Massage and Foot Massage
- Executive Club Lounge privileges
- Complimentary Wi-fi internet access in guest room (up to 4 devices)
- Complimentary use of the Gym
• Exclusive Use of Executive Club Lounge
- Use from 7am to 11pm with soft drinks, juice, tea and coffee service and fresh pastries
- Complimentary Deluxe Continental breakfast from 7am to 10:30am
- Complimentary Evening Cocktails from 5pm to 8pm with snacks, canapés, cookies, fruits, coffee, tea, soft drinks, juice, beer, liquor and wine
- Daily newspapers, magazines and a library of books for your reading
• Three nights stay with free upgrade to Royal Suite (Subject to room availability)"
"1594281697-1253","https://www.holidayhk.com/en-hk/staycation/","W Hong KongDine Whatever/Whenever","https://www.holidayhk.com/en-hk/staycation/staycation0092/","W Hong Kong","Dine Whatever/Whenever","•  Book Wonderful, Spectacular, Fabulous, or Cool Corner Room to receive HK$700 beverage and food credit. (Exclude W MIXBAR)
•  Book Fantastic or Marvelous Suite to receive HK$1,500 beverage and food credit. (Exclude W MIXBAR)","/media/offer/WHongKong_HK_Hotel_Offer_1_logo.png","• Offer is valid from 15 June to 30 December 2020
• Hong Kong residents are eligible for this offer
• Offer includes:
- One night accommodation
- HK$700 beverage and food credit for Wonderful, Spectacular, Fabulous, or Cool Corner room or
- HK$1500 beverage and food credit for Fantastic and Marvelous Suite
• For enquiries, please contact wreservations.hk@whotels.com or +852 3717 2000"
